iter	Passed	Remaining
0	74	74639
1	78	39014
2	78	26191
3	79	19756
4	79	15897
5	80	13344
6	81	11495
7	81	10108
8	82	9031
9	82	8167
10	82	7461
11	83	6873
12	83	6374
13	84	5947
14	84	5577
15	85	5252
16	85	4966
17	86	4712
18	87	4511
19	87	4306
20	88	4121
21	88	3953
22	89	3801
23	89	3659
24	90	3528
25	90	3407
26	91	3295
27	91	3191
28	92	3093
29	92	3003
30	93	2918
31	93	2839
32	94	2764
33	94	2694
34	95	2632
35	98	2633
36	98	2574
37	99	2517
38	99	2463
39	100	2412
40	101	2363
41	101	2315
42	102	2270
43	102	2226
44	102	2184
45	103	2145
46	103	2106
47	104	2070
48	104	2035
49	105	2002
50	105	1969
51	106	1938
52	106	1908
53	110	1938
54	111	1909
55	111	1882
56	112	1855
57	112	1829
58	113	1804
59	113	1780
60	114	1756
61	114	1733
62	115	1711
63	115	1690
64	116	1669
65	116	1652
66	117	1632
67	117	1609
68	117	1590
69	118	1572
70	118	1555
71	122	1575
72	122	1559
73	123	1542
74	123	1527
75	124	1511
76	124	1496
77	125	1480
78	125	1466
79	126	1451
80	126	1437
81	127	1423
82	127	1410
83	128	1396
84	128	1381
85	128	1369
86	129	1354
87	129	1344
88	130	1332
89	130	1321
90	133	1330
91	133	1319
92	134	1308
93	160	1546
94	161	1537
95	161	1524
96	162	1511
97	162	1499
98	163	1487
99	163	1474
100	164	1465
101	166	1464
102	176	1533
103	177	1528
104	177	1516
105	178	1505
106	178	1493
107	179	1482
108	179	1470
109	180	1459
110	180	1448
111	181	1438
112	186	1464
113	187	1456
114	187	1445
115	188	1434
116	188	1424
117	189	1416
118	189	1405
119	190	1397
120	191	1387
121	191	1378
122	191	1366
123	192	1357
124	192	1348
125	193	1339
126	193	1330
127	193	1320
128	194	1312
129	194	1303
130	208	1386
131	209	1377
132	210	1370
133	211	1368
134	212	1360
135	212	1351
136	213	1345
137	213	1336
138	214	1328
139	215	1323
140	215	1315
141	216	1307
142	217	1301
143	217	1294
144	218	1287
145	218	1279
146	219	1272
147	219	1264
148	220	1260
149	221	1253
150	221	1246
151	222	1239
152	222	1232
153	223	1225
154	223	1220
155	224	1213
156	224	1207
157	225	1200
158	225	1194
159	226	1188
160	226	1181
161	227	1175
162	227	1169
163	228	1163
164	228	1157
165	229	1151
166	229	1145
167	230	1140
168	230	1135
169	231	1130
170	235	1141
171	235	1135
172	236	1130
173	236	1124
174	237	1119
175	237	1113
176	238	1108
177	238	1103
178	239	1098
179	239	1092
180	240	1086
181	240	1081
182	241	1076
183	241	1071
184	241	1066
185	242	1061
186	242	1056
187	243	1051
188	243	1046
189	245	1045
190	246	1042
191	246	1038
192	247	1033
193	247	1029
194	248	1024
195	248	1020
196	249	1015
197	249	1011
198	250	1006
199	250	1002
200	251	998
201	251	994
202	252	990
203	252	986
204	255	990
205	256	990
206	257	986
207	257	982
208	258	978
209	258	974
210	259	969
211	259	965
212	260	961
213	260	957
214	261	954
215	261	950
216	262	946
217	262	942
218	263	938
219	263	934
220	264	931
221	264	927
222	265	923
223	265	919
224	266	917
225	266	913
226	267	910
227	267	906
228	275	927
229	275	923
230	276	920
231	276	916
232	277	913
233	277	909
234	278	906
235	278	902
236	279	899
237	279	895
238	280	892
239	280	889
240	281	886
241	285	895
242	287	895
243	288	894
244	289	891
245	289	887
246	290	884
247	290	881
248	291	877
249	291	874
250	292	871
251	292	868
252	293	865
253	293	862
254	294	859
255	294	856
256	295	853
257	295	850
258	296	847
259	305	868
260	305	865
261	306	862
262	306	859
263	307	856
264	307	853
265	308	850
266	308	847
267	309	844
268	309	841
269	310	839
270	310	836
271	311	833
272	311	830
273	318	842
274	318	839
275	318	836
276	319	833
277	319	830
278	320	828
279	320	825
280	321	822
281	321	819
282	322	816
283	322	813
284	323	811
285	323	808
286	325	809
287	326	806
288	337	830
289	338	827
290	338	824
291	339	822
292	339	819
293	339	816
294	340	813
295	340	810
296	341	808
297	342	805
298	342	803
299	343	800
300	343	798
301	344	795
302	348	801
303	348	798
304	349	796
305	349	793
306	350	791
307	350	788
308	351	786
309	352	784
310	352	781
311	353	778
312	353	776
313	354	773
314	354	771
315	355	768
316	355	766
317	356	763
318	356	761
319	357	759
320	358	757
321	358	755
322	359	753
323	360	751
324	380	790
325	381	788
326	382	786
327	382	783
328	382	781
329	383	778
330	383	776
331	384	773
332	384	770
333	385	768
334	385	765
335	386	763
336	386	761
337	387	758
338	387	756
339	388	753
340	388	751
341	389	748
342	389	746
343	401	766
344	402	763
345	402	761
346	403	759
347	403	756
348	404	754
349	404	751
350	405	749
351	405	747
352	411	754
353	412	751
354	412	749
355	412	747
356	413	744
357	413	742
358	414	739
359	414	737
360	415	735
361	415	732
362	416	730
363	416	728
364	417	726
365	418	724
366	418	722
367	419	719
368	419	717
369	420	715
370	420	713
371	421	710
372	421	708
373	422	706
374	422	704
375	423	702
376	432	714
377	433	712
378	433	710
379	434	708
380	434	706
381	435	703
382	435	701
383	436	699
384	436	697
385	437	695
386	437	693
387	442	698
388	443	695
389	443	693
390	444	691
391	444	689
392	445	687
393	445	685
394	446	683
395	446	681
396	447	679
397	447	677
398	448	674
399	448	672
400	449	670
401	449	668
402	449	666
403	450	664
404	450	662
405	451	660
406	451	658
407	452	656
408	453	654
409	453	652
410	460	660
411	461	658
412	462	657
413	463	655
414	463	653
415	464	651
416	464	649
417	465	647
418	465	645
419	465	643
420	466	641
421	466	639
422	467	637
423	471	640
424	472	639
425	473	637
426	473	635
427	474	633
428	474	631
429	474	629
430	475	627
431	475	625
432	476	623
433	476	621
434	477	620
435	478	618
436	478	617
437	479	615
438	479	613
439	480	611
440	481	610
441	481	608
442	482	606
443	491	615
444	492	614
445	492	612
446	493	610
447	493	608
448	494	606
449	494	604
450	495	602
451	495	600
452	496	599
453	496	597
454	497	595
455	497	593
456	498	591
457	498	590
458	499	588
459	503	591
460	504	589
461	504	587
462	504	585
463	505	583
464	506	582
465	506	580
466	506	578
467	507	577
468	508	575
469	508	573
470	509	571
471	509	570
472	510	568
473	510	566
474	510	564
475	511	563
476	511	561
477	512	559
478	512	557
479	513	556
480	514	554
481	514	552
482	515	551
483	524	559
484	525	557
485	525	555
486	526	554
487	526	552
488	527	550
489	527	549
490	528	547
491	528	546
492	530	545
493	534	547
494	536	547
495	537	545
496	537	544
497	538	542
498	538	540
499	539	539
500	539	537
501	539	535
502	540	534
503	540	532
504	541	530
505	541	529
506	542	527
507	542	525
508	543	524
509	544	523
510	545	521
511	546	520
512	547	519
513	547	517
514	550	518
515	555	521
516	556	520
517	557	518
518	560	519
519	560	517
520	561	516
521	562	515
522	562	513
523	563	511
524	563	510
525	564	508
526	565	507
527	565	505
528	574	511
529	575	510
530	575	508
531	576	507
532	576	505
533	577	503
534	577	502
535	578	500
536	578	498
537	579	497
538	580	496
539	580	494
540	581	493
541	581	491
542	582	490
543	583	488
544	587	490
545	587	488
546	590	488
547	591	487
548	592	487
549	593	485
550	593	483
551	594	482
552	594	480
553	595	479
554	595	477
555	596	476
556	596	474
557	598	474
558	609	480
559	609	479
560	610	477
561	610	475
562	619	480
563	619	478
564	621	478
565	621	476
566	622	475
567	622	473
568	623	472
569	624	470
570	624	469
571	625	467
572	625	466
573	626	464
574	626	463
575	626	461
576	627	459
577	627	458
578	628	456
579	638	462
580	638	460
581	639	459
582	639	457
583	640	456
584	640	454
585	641	453
586	641	451
587	642	450
588	642	448
589	653	454
590	654	452
591	655	451
592	655	449
593	656	448
594	656	447
595	657	445
596	658	444
597	658	442
598	669	448
599	670	446
600	670	445
601	671	443
602	671	442
603	672	440
604	672	439
605	673	437
606	673	436
607	674	434
608	674	433
609	675	431
610	675	430
611	681	431
612	681	430
613	682	428
614	684	428
615	690	430
616	690	428
617	691	427
618	691	425
619	692	424
620	692	422
621	693	421
622	693	419
623	694	418
624	694	416
625	695	415
626	695	413
627	695	412
628	696	410
629	696	409
630	697	407
631	697	406
632	698	404
633	715	412
634	716	411
635	716	410
636	719	410
637	720	408
638	720	407
639	721	405
640	721	404
641	722	402
642	722	401
643	723	399
644	723	398
645	723	396
646	724	395
647	735	399
648	736	398
649	736	396
650	737	395
651	737	393
652	738	392
653	738	390
654	739	389
655	739	387
656	740	386
657	740	384
658	741	383
659	741	382
660	742	380
661	749	382
662	750	381
663	758	383
664	769	387
665	769	386
666	770	384
667	780	387
668	780	386
669	781	384
670	781	383
671	782	381
672	782	380
673	783	378
674	783	377
675	784	375
676	784	374
677	785	372
678	785	371
679	785	369
680	786	368
681	786	366
682	787	365
683	787	363
684	788	362
685	788	361
686	789	359
687	789	358
688	812	366
689	813	365
690	813	363
691	814	362
692	814	360
693	815	359
694	816	358
695	816	356
696	817	355
697	818	353
698	821	353
699	822	352
700	830	354
701	831	352
702	832	351
703	832	350
704	833	348
705	833	347
706	834	345
707	834	344
708	835	342
709	835	341
710	836	339
711	836	338
712	837	337
713	838	335
714	838	334
715	839	332
716	843	332
717	843	331
718	848	331
719	849	330
720	849	328
721	851	327
722	861	330
723	861	328
724	862	327
725	862	325
726	863	324
727	863	322
728	864	321
729	864	319
730	865	318
731	869	318
732	870	317
733	870	315
734	871	314
735	871	312
736	872	311
737	872	309
738	873	308
739	873	307
740	874	305
741	874	304
742	875	302
743	875	301
744	876	299
745	877	298
746	877	297
747	886	298
748	886	297
749	887	295
750	887	294
751	888	292
752	888	291
753	889	290
754	889	288
755	890	287
756	890	285
757	891	284
758	891	283
759	892	281
760	892	280
761	906	283
762	906	281
763	907	280
764	907	278
765	908	277
766	908	276
767	909	274
768	909	273
769	910	271
770	910	270
771	911	269
772	913	268
773	917	268
774	918	266
775	920	265
776	920	264
777	939	267
778	939	266
779	940	265
780	940	263
781	941	262
782	941	260
783	942	259
784	942	258
785	943	256
786	943	255
787	943	253
788	944	252
789	945	251
790	945	249
791	946	248
792	947	247
793	947	245
794	948	244
795	960	246
796	960	244
797	961	243
798	961	241
799	962	240
800	962	239
801	968	239
802	969	237
803	969	236
804	970	235
805	970	233
806	971	232
807	971	230
808	972	229
809	972	228
810	973	226
811	973	225
812	987	227
813	988	225
814	988	224
815	990	223
816	991	222
817	991	220
818	992	219
819	992	217
820	993	216
821	993	215
822	994	213
823	999	213
824	1000	212
825	1000	210
826	1002	209
827	1003	208
828	1003	207
829	1005	205
830	1005	204
831	1006	203
832	1006	201
833	1007	200
834	1007	199
835	1008	197
836	1008	196
837	1009	195
838	1009	193
839	1010	192
840	1010	191
841	1011	189
842	1011	188
843	1012	187
844	1012	185
845	1013	184
846	1014	183
847	1014	181
848	1015	180
849	1024	180
850	1024	179
851	1059	184
852	1060	182
853	1061	181
854	1061	180
855	1062	178
856	1062	177
857	1063	175
858	1063	174
859	1064	173
860	1064	171
861	1065	170
862	1065	169
863	1066	167
864	1066	166
865	1066	165
866	1067	163
867	1067	162
868	1068	161
869	1069	159
870	1069	158
871	1070	157
872	1079	157
873	1079	155
874	1080	154
875	1080	153
876	1081	151
877	1081	150
878	1082	149
879	1083	147
880	1083	146
881	1084	145
882	1084	143
883	1085	142
884	1085	141
885	1086	139
886	1089	138
887	1090	137
888	1091	136
889	1091	134
890	1092	133
891	1092	132
892	1093	130
893	1093	129
894	1094	128
895	1094	127
896	1095	125
897	1095	124
898	1095	123
899	1096	121
900	1096	120
901	1097	119
902	1097	117
903	1098	116
904	1098	115
905	1099	114
906	1107	113
907	1108	112
908	1108	110
909	1109	109
910	1109	108
911	1110	107
912	1110	105
913	1111	104
914	1111	103
915	1112	101
916	1112	100
917	1112	99
918	1113	98
919	1113	96
920	1114	95
921	1115	94
922	1115	93
923	1116	91
924	1120	90
925	1121	89
926	1121	88
927	1122	87
928	1122	85
929	1123	84
930	1124	83
931	1125	82
932	1125	80
933	1126	79
934	1126	78
935	1126	77
936	1127	75
937	1127	74
938	1128	73
939	1128	72
940	1129	70
941	1129	69
942	1155	69
943	1155	68
944	1156	67
945	1156	66
946	1157	64
947	1157	63
948	1158	62
949	1158	60
950	1159	59
951	1159	58
952	1160	57
953	1160	55
954	1161	54
955	1161	53
956	1173	52
957	1174	51
958	1174	50
959	1175	48
960	1175	47
961	1176	46
962	1176	45
963	1177	43
964	1177	42
965	1178	41
966	1178	40
967	1181	39
968	1181	37
969	1182	36
970	1182	35
971	1183	34
972	1183	32
973	1184	31
974	1184	30
975	1185	29
976	1185	27
977	1203	27
978	1203	25
979	1204	24
980	1205	23
981	1205	22
982	1206	20
983	1206	19
984	1207	18
985	1207	17
986	1208	15
987	1208	14
988	1209	13
989	1210	12
990	1211	11
991	1211	9
992	1212	8
993	1214	7
994	1216	6
995	1218	4
996	1218	3
997	1219	2
998	1221	1
999	1222	0
