iter	Passed	Remaining
0	59	59364
1	61	30840
2	62	20819
3	63	15840
4	64	12764
5	64	10706
6	65	9236
7	66	8199
8	66	7339
9	67	6696
10	68	6162
11	69	5713
12	70	5334
13	71	5007
14	71	4715
15	72	4446
16	72	4209
17	73	3996
18	73	3807
19	74	3649
20	75	3508
21	75	3375
22	76	3245
23	76	3126
24	77	3017
25	77	2915
26	78	2822
27	78	2734
28	80	2679
29	81	2639
30	85	2677
31	86	2606
32	86	2540
33	88	2508
34	95	2639
35	96	2591
36	97	2542
37	98	2500
38	100	2471
39	101	2427
40	101	2383
41	102	2337
42	103	2296
43	103	2252
44	104	2211
45	105	2178
46	105	2145
47	106	2114
48	107	2086
49	108	2058
50	110	2059
51	111	2039
52	113	2029
53	114	2004
54	115	1980
55	116	1956
56	116	1933
57	117	1910
58	118	1889
59	119	1868
60	120	1848
61	120	1824
62	121	1801
63	121	1778
64	122	1756
65	122	1735
66	123	1714
67	123	1693
68	124	1674
69	124	1654
70	125	1638
71	126	1634
72	127	1617
73	127	1600
74	128	1583
75	128	1566
76	129	1550
77	129	1534
78	130	1519
79	130	1504
80	131	1489
81	131	1475
82	131	1458
83	132	1447
84	133	1434
85	133	1421
86	134	1408
87	134	1396
88	135	1383
89	135	1371
90	136	1359
91	136	1348
92	137	1336
93	137	1325
94	138	1314
95	138	1304
96	138	1293
97	139	1283
98	139	1272
99	140	1263
100	142	1272
101	153	1354
102	154	1346
103	155	1339
104	157	1338
105	158	1332
106	158	1326
107	159	1320
108	160	1311
109	160	1301
110	161	1292
111	161	1283
112	173	1362
113	174	1353
114	174	1343
115	175	1339
116	176	1330
117	177	1323
118	177	1314
119	178	1305
120	178	1296
121	178	1287
122	180	1285
123	193	1364
124	193	1357
125	196	1360
126	196	1352
127	197	1347
128	198	1342
129	200	1339
130	201	1334
131	204	1345
132	205	1338
133	206	1332
134	206	1325
135	207	1319
136	208	1315
137	210	1312
138	210	1306
139	211	1301
140	212	1296
141	213	1288
142	217	1304
143	220	1307
144	220	1302
145	236	1380
146	237	1379
147	239	1377
148	240	1371
149	241	1365
150	241	1360
151	242	1355
152	243	1349
153	244	1343
154	246	1345
155	247	1339
156	248	1334
157	249	1330
158	251	1328
159	252	1324
160	252	1318
161	253	1313
162	254	1309
163	255	1304
164	256	1299
165	257	1294
166	258	1288
167	258	1282
168	259	1275
169	259	1268
170	260	1262
171	261	1257
172	263	1258
173	263	1253
174	265	1249
175	271	1271
176	272	1265
177	272	1258
178	273	1252
179	273	1245
180	274	1240
181	274	1233
182	274	1227
183	275	1221
184	275	1215
185	277	1214
186	278	1212
187	279	1207
188	281	1206
189	313	1334
190	313	1328
191	314	1321
192	314	1315
193	315	1308
194	315	1302
195	316	1296
196	316	1290
197	319	1294
198	320	1288
199	320	1282
200	321	1276
201	321	1270
202	321	1264
203	322	1258
204	322	1252
205	323	1246
206	324	1244
207	325	1238
208	325	1233
209	328	1234
210	328	1229
211	329	1223
212	329	1218
213	330	1212
214	330	1207
215	331	1202
216	331	1196
217	332	1191
218	332	1186
219	333	1181
220	333	1175
221	334	1170
222	334	1165
223	335	1160
224	335	1155
225	335	1150
